5857400,40,5857300,20,5857500,62,5857000,50,5859300,100,5856900,20,5859400,200,5856500,5,5859800,200,5853600,18,5861000,200,5853500,18,5868900,300,5853300,18,5869500,50,5853000,150,5870000,100,5851000,5,5871000,10,5850100,89
5857400,40,5857300,20,5857500,62,5857000,50,5859300,100,5856900,20,5859400,200,5856500,5,5859800,200,5856400,20,5861000,200,5853600,18,5868900,300,5853500,18,5869500,50,5853300,18,5870000,100,5853000,150,5871000,10,5851000,5
5857400,40,5857300,20,5857500,82,5857000,50,5859300,100,5856900,20,5859400,200,5856500,5,5859800,200,5856400,20,5861000,200,5853600,18,5868900,300,5853500,18,5869500,50,5853300,18,5870000,100,5853000,150,5871000,10,5851000,5
5857400,40,5857300,20,5857500,82,5857000,50,5859300,100,5856900,20,5859400,200,5856500,5,5859800,200,5856400,20,5861000,200,5856000,3,5868900,300,5853600,18,5869500,50,5853500,18,5870000,100,5853300,18,5871000,10,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,25,5856900,20,5859300,100,5856500,5,5859400,200,5856400,20,5859800,200,5856000,3,5861000,200,5853600,18,5868900,300,5853500,18,5869500,50,5853300,18,5870000,100,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5859300,100,5856500,5,5859400,200,5856400,20,5859800,200,5856000,3,5861000,200,5853600,18,5868900,300,5853500,18,5869500,50,5853300,18,5870000,100,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5859300,100,5856400,20,5859400,200,5856000,3,5859800,200,5853600,18,5861000,200,5853500,18,5868900,300,5853300,18,5869500,50,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5858200,5,5856400,20,5859300,100,5856000,3,5859400,200,5853600,18,5859800,200,5853500,18,5861000,200,5853300,18,5868900,300,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5858200,5,5856400,20,5858300,7,5856000,3,5859300,100,5853600,18,5859400,200,5853500,18,5859800,200,5853300,18,5861000,200,5853000,150
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5858200,5,5856400,20,5858300,7,5856000,3,5859300,100,5853500,18,5859400,200,5853300,18,5859800,200,5853000,150,5861000,200,5851000,5
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5858200,5,5856400,20,5858300,7,5856000,3,5859300,100,5853500,18,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89
5857400,40,5857300,20,5857500,82,5857000,50,5857800,45,5856900,20,5858000,4,5856500,5,5858200,5,5856400,20,5858300,7,5856000,3,5859300,100,5853000,150,5859400,200,5851000,5,5859800,200,5850100,89,5861000,200,5850000,100
5857500,82,5857300,20,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857500,57,5857300,20,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857500,57,5857300,19,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857500,57,5857300,9,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
5857500,32,5857300,9,5857800,45,5857000,50,5858000,4,5856900,20,5858200,5,5856500,5,5858300,7,5856400,20,5859300,100,5856000,3,5859400,200,5853000,150,5859800,200,5851000,5,5861000,200,5850100,89,5868900,300,5850000,100
